,id,name,category,rating,reviews,price,zipcode,latitude,longitude,city,address1,address2,address3,display_address,postcode,area
1571,RzsGN4riTwmILiMYoWfaiA,Ruairi Maguires Bar and Restaurant,irish,1.5,4,,16,53.287,-6.24331,Dublin,Dundrum Town Centre,Dundrum,,"['Dundrum Town Centre', 'Dundrum', 'Dublin 16', 'Republic of Ireland']",D16 W0C0,D16
1572,BmzpwWFTs3YxJ8ytMy_qlQ,The Villager,pub,4.5,3,1,20,53.34966,-6.34445,Chapelizod,31 Main Street,,,"['31 Main Street', 'Chapelizod, 20', 'Republic of Ireland']",D20 EP29,D20
1573,oItAz80GYk5KKJELdqx7YA,Isaac Butt Bar,pub,3.0,3,,1,53.35016,-6.25209,Dublin,1 Store Street,,,"['1 Store Street', 'Dublin 1', 'Republic of Ireland']",D01 WY03,D01
1574,u9o8-vRz5Q6apfU2HAWSUQ,Cu Chulainn,pub,4.5,3,2,15,53.3946890674373,-6.43043155627052,Dublin,44 Main Street,Ongar Village,,"['44 Main Street', 'Ongar Village', 'Dublin 15', 'Republic of Ireland']",D15 NX83,D15
1575,RXLUMtJhX3tZraceR5mwYQ,Farmer Browns,irish,5.0,3,,6,53.3176222,-6.2410788,Dublin,68 Clonskeagh Road,,,"['68 Clonskeagh Road', 'Dublin 6', 'Republic of Ireland']",D06 F304,D06
1576,hD7IRd2gpSl2OUjqG7rT2g,Krewe,cajun,4.0,3,,D01 DA58,53.349113,-6.268865,Dublin,51/52 Capel St,,,"['51/52 Capel St', 'Dublin, D01 DA58', 'Republic of Ireland']",D01 E0H2,D01
1577,HjD4DegGntekuuV9EPU4-Q,D One Bar and Restaurant,brazilian,3.5,3,,7,53.3508234,-6.2699933,Dublin,89 Capel Street,,,"['89 Capel Street', 'Dublin 7', 'Republic of Ireland']",D07 PR5X,D07
1578,Zos9ZeEW8Wa2WugiaZNf4w,Darby O'Gills,pub,2.5,3,,1,53.3336532,-6.2533736,Dublin,27 Lower Leeson Street,,,"['27 Lower Leeson Street', 'Dublin 1', 'Republic of Ireland']",D02 X285,D02
1579,R7JC7TUYAEZaJYlwdi2K8g,Maureen's Bar,bar,4.5,2,3,2,53.34418,-6.2648,Dublin,Olympia Theatre,Dame Street,,"['Olympia Theatre', 'Dame Street', 'Dublin 2', 'Republic of Ireland']",D02 E267,D02
1580,IseRL4dem1z8IwVpCuJHzw,Downeys,pub,5.0,2,,10,53.342361,-6.357064,Dublin,Grange Cross,Ballyfermot Road,,"['Grange Cross', 'Ballyfermot Road', 'Dublin 10', 'Republic of Ireland']",D10 WV02,D10
1581,eLqjz84Km048fGcbSM-9cA,Kennedy's,bar,4.0,2,2,9,53.3670888214855,-6.2557031398267,Dublin,Lower Drumcondra Road,Drumcondra,,"['Lower Drumcondra Road', 'Drumcondra', 'Dublin 9', 'Republic of Ireland']",D09 A4P8,D09
