,id,name,category,rating,reviews,price,zipcode,latitude,longitude,city,address1,address2,address3,display_address
881,f2-og_Tjq4Or0nNd_qS-qQ,Blend Cafe,cafes,4.5,5,,,53.35522,-6.28747,Dublin,Prussia Street,"Unit 7, Park Shopping Centre",,"['Prussia Street', 'Unit 7, Park Shopping Centre', 'Dublin', 'Republic of Ireland']"
882,M5fBfhRp8iz7ydD8RtzBNA,Glas,vegetarian,5.0,5,,D02 FV50,53.341055,-6.2619125,Dublin 2,15/16 Chatham St,,,"['15/16 Chatham St', 'Dublin 2, D02 FV50', 'Republic of Ireland']"
883,IsPezgCNNKHZN0H7lHXKtA,Chopsticks,chinese,3.0,5,,1,53.3498053,-6.2603097,Dublin,Ilac Centre,Parnell street,,"['Ilac Centre', 'Parnell street', 'Dublin 1', 'Republic of Ireland']"
884,jmH2Vm0xqVUY0_YJr6Kjrg,Sprout & Co,salad,5.0,5,€,2,53.3393742716088,-6.24584320932627,Dublin,5 Mount Street Lower,,,"['5 Mount Street Lower', 'Dublin 2', 'Republic of Ireland']"
885,GFzjT0k3a_dNsDCw2IHpLw,Old Town Chinese Restaurant,asianfusion,4.0,5,€€,,53.3486543,-6.269266,Dublin,123 Capel Street,Dublin 1,,"['123 Capel Street', 'Dublin 1', 'Dublin', 'Republic of Ireland']"
886,ed_4-5d1ECftCNLOCAOcTA,Koffee and Kale,salad,4.0,5,,1,53.35555,-6.2603799,Dublin,21B Hill Street,,,"['21B Hill Street', 'Dublin 1', 'Republic of Ireland']"
887,RlmpeFTn1_2CNyGeoJhF7A,Wok King,chinese,4.0,5,€€,2,53.3369369506836,-6.26544523239136,Dublin,13 Wexford Street,,,"['13 Wexford Street', 'Dublin 2', 'Republic of Ireland']"
888,LvsRHBExU_CTvAW_k9TeKQ,Bru House,gastropubs,3.5,5,,3,53.36334,-6.235652,Dublin,12 Fairview,,,"['12 Fairview', 'Dublin 3', 'Republic of Ireland']"
889,vR1NHdI-iphgLPuUnBNSWw,Momo's,hotdogs,2.5,5,€,2,53.33995,-6.26581,Dublin,Aungier St,,,"['Aungier St', 'Dublin 2', 'Republic of Ireland']"
890,Za4XRqIYFCtptUxMYvXgvw,Lofficina By Dunne and Crescenzi,italian,4.0,5,€€,14,53.3009605,-6.2458601,Stillorgan,The Mill Pond,Dundrum Town Centre,,"['The Mill Pond', 'Dundrum Town Centre', 'Stillorgan, 14', 'Republic of Ireland']"
891,nFM4XWDWNEC0jZjgLsjELg,McDonald's,hotdogs,3.5,5,,1,53.35024,-6.26104,Dublin,62 Upper O'Connell Street,,,"[""62 Upper O'Connell Street"", 'Dublin 1', 'Republic of Ireland']"
892,d__DS8BSLCzfh8NKCkWmnw,Subway,sandwiches,2.0,5,,,53.3301697,-6.2321301,Dublin,53-57 Shelbourne Road,,,"['53-57 Shelbourne Road', 'Dublin', 'Republic of Ireland']"
893,xX6qggkLGme3xckZGPX5Ag,La Pausa Cafe,cafes,5.0,5,€,D07 PR60,53.3561890764372,-6.2656437893113,Dublin,1-B Blessington Street,Phibsborough,,"['1-B Blessington Street', 'Phibsborough', 'Dublin, D07 PR60', 'Republic of Ireland']"
894,VNZOAZ5tq_U9vCy_EXYNMA,O'briens,coffee,3.0,5,,1,53.34835,-6.25828,Dublin,34 Lower Abbey St,,,"['34 Lower Abbey St', 'Dublin 1', 'Republic of Ireland']"
895,FfnqaRBXv3QykDG9XelH4A,Harcourt Street Food Market,foodstands,4.0,5,€,2,53.3339568,-6.2604149,Dublin,"Park Place, Station Buildings",Upper Hatch St,,"['Park Place, Station Buildings', 'Upper Hatch St', 'Dublin 2', 'Republic of Ireland']"
896,URG8047b7OzYGHMqsTAi4A,Brendans Coffee Shop,coffee,4.5,5,,7,53.3480599,-6.27255,Dublin,10-11,Mary's Ln,,"['10-11', ""Mary's Ln"", 'Dublin 7', 'Republic of Ireland']"
897,UNQn5fhQVxmnWKT49IVEyw,161 Café Bistro,irish,4.0,5,,6,53.31589,-6.26538,Dublin,161 Upper Rathmines Road,,,"['161 Upper Rathmines Road', 'Dublin 6', 'Republic of Ireland']"
898,yD1j0AjhxxowipZ3Ic7ezQ,The Loft Cafe,coffee,2.5,5,€,2,53.34131,-6.26026,Dublin,32 Grafton St,,,"['32 Grafton St', 'Dublin 2', 'Republic of Ireland']"
899,Vl2j2-OaXEionBdEbpRZPg,The Studio Café,cafes,3.0,5,€€,14,53.2992,-6.285,Dublin,54 Main Street,Rathfarnham,,"['54 Main Street', 'Rathfarnham', 'Dublin 14', 'Republic of Ireland']"
900,2rw8yeG22yzEe70xS3K29A,Cafe Bar Deli,italian,3.5,5,€€,2,53.34226,-6.25976,Dublin,Grafton St,,,"['Grafton St', 'Dublin 2', 'Republic of Ireland']"
901,TQItxKf5CRvHYLIzSbngHg,Turkish Kebab House,kebab,5.0,5,,1,53.353981,-6.25846,Dublin,"133 Parnell Street,",,,"['133 Parnell Street,', 'Dublin 1', 'Republic of Ireland']"
902,q_Jg5mZNUkx7BRyss1v5JA,Lavanda,modern_european,4.5,5,,7,53.3506395,-6.2797249,Smithfield,31 Brunswick Street N,,,"['31 Brunswick Street N', 'Smithfield, 7', 'Republic of Ireland']"
903,ZUOsZS8YPTC0z-mcnYfZ-w,Made in Brazil,brazilian,4.0,5,,1,53.3512,-6.26337,Dublin,Moore Street Mall,,,"['Moore Street Mall', 'Dublin 1', 'Republic of Ireland']"
904,gxp6HHsebumrbsg2NjhuYA,Favourite Fried Chicken,british,3.0,5,€,8,53.3320198,-6.2754402,Dublin,3a Clanbrassil St,,,"['3a Clanbrassil St', 'Dublin 8', 'Republic of Ireland']"
905,QJTGkw-yX6-8eQyn71v8_w,Cafe Nero,cafes,3.5,5,€€,2,53.3401977065503,-6.26172407238998,Dublin,51 South King Street,,,"['51 South King Street', 'Dublin 2', 'Republic of Ireland']"
